"LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","SalePrice","OverallQual","Neighborhood","ExterQual","BsmtQual","KitchenQual","GarageFinish","FireplaceQu","Foundation","GarageType","MSSubClass"
63,8849,2005,2005,616,28,1656,1684,1684,0,1684,0,2,0,2,6,1,2005,2,564,495,72,266000,"VGood","Rich","Ex","Ex","Ex","RFn","Ex","PConc","Attchd","120"
36,2592,1976,1976,0,129,175,536,536,576,1112,0,1,1,3,4,0,1976,1,336,182,0,85000,"Moderate","Poor","TA","Gd","TA","Unf","NFp","CBlock","Attchd","160"
65,6435,1939,1950,0,0,972,972,972,605,1577,0,1,0,3,6,1,1939,1,312,0,0,140200,"Moderate","Poor","TA","TA","Fa","Unf","Gd","BrkTil","Detchd","50"
0,12772,1960,1998,0,498,460,958,958,0,958,0,1,0,2,5,0,1960,1,301,0,0,151500,"Moderate","Poor","TA","TA","TA","RFn","NFp","CBlock","Attchd","20"
0,17600,1960,1960,30,1270,208,1478,1478,0,1478,1,2,0,3,6,2,1960,2,498,0,40,157500,"Moderate","Poor","TA","TA","TA","Unf","Gd","CBlock","Attchd","20"
36,2448,2003,2004,106,573,191,764,764,862,1626,1,2,1,2,6,0,2003,2,474,0,27,154000,"Good","Rich","Gd","Gd","Gd","RFn","NFp","PConc","BuiltIn","160"
56,20431,2005,2006,240.768222030286,1410,438,1848,1848,880,2728,1,2,1,4,10,2,2006,3,706,0,0,437154,"VGood","Rich","Ex","Ex","Ex","Fin","Ex","PConc","Attchd","60"
68,7820,2007,2007,362,0,1869,1869,1869,0,1869,0,2,0,2,6,1,2007,2,617,210,54,318061,"VGood","Rich","Ex","Ex","Ex","RFn","Gd","PConc","Attchd","120"
0,5271,1986,1986,0,1082,371,1453,1453,0,1453,1,1,1,2,6,1,1986,2,445,0,80,190000,"Good","Rich","TA","Gd","Gd","RFn","TA","PConc","Attchd","120"
60,9084,1941,1950,0,236,0,616,616,495,1111,0,1,0,3,5,0,1941,1,200,48,0,95000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","50"
60,8520,1928,2003,0,0,624,624,720,0,720,0,1,0,2,5,0,2005,2,484,106,0,105900,"Moderate","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","30"
60,8400,1940,2000,0,388,552,940,1192,403,1595,0,1,0,2,6,2,1940,1,240,0,0,140000,"Moderate","Moderate","TA","TA","TA","Unf","Gd","CBlock","Attchd","50"
105,11249,1995,1995,0,334,322,1200,1200,0,1200,1,2,0,3,6,0,1995,2,521,0,26,177500,"Moderate","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","20"
0,9248,1992,1992,106,560,598,1158,1167,0,1167,1,2,0,3,6,0,1992,2,400,120,26,173000,"Moderate","Moderate","TA","Gd","Gd","RFn","NFp","PConc","Attchd","20"
44,4224,1976,1976,0,874,268,1142,1142,0,1142,1,1,1,3,6,1,1976,2,528,536,90,134000,"Moderate","Poor","TA","Gd","TA","Fin","Po","PConc","Attchd","120"
92,6930,1958,1958,120,300,468,1062,1352,0,1352,0,1,0,3,6,0,1958,1,288,168,0,130000,"Moderate","Rich","TA","TA","Gd","Unf","NFp","CBlock","BuiltIn","80"
78,12011,1998,1998,530,956,130,1086,1086,838,1924,1,2,1,3,7,1,1998,2,592,208,75,280000,"Good","Rich","Gd","Gd","Gd","RFn","TA","PConc","Attchd","60"
0,7540,1978,1978,0,773,115,888,912,0,912,1,1,0,2,5,1,1978,2,470,0,0,156000,"Moderate","Moderate","TA","Gd","TA","RFn","TA","CBlock","Attchd","85"
0,9144,1940,1982,0,399,484,883,988,517,1505,1,1,0,3,8,0,1940,1,240,0,0,145000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","50"
64,7301,2003,2003,500,0,0,0,495,1427,1922,0,3,0,4,7,1,2003,2,672,0,0,198500,"Good","Poor","Gd","NBsmt","Gd","RFn","Ex","Slab","BuiltIn","85"
21,1680,1972,2007,510,162,321,483,483,504,987,0,1,1,2,5,0,1972,1,264,250,0,118000,"Moderate","Poor","TA","TA","Gd","Unf","NFp","CBlock","Detchd","160"
0,18800,1976,1976,120,712,84,796,790,784,1574,1,2,1,3,6,1,1976,2,566,306,111,190000,"Moderate","Moderate","TA","Gd","TA","Fin","TA","PConc","Attchd","60"
59,10690,1920,1997,0,456,216,672,672,672,1344,0,1,0,3,6,0,1964,1,468,0,128,147000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","70"
0,9500,1963,1963,247,609,785,1394,1394,0,1394,1,1,1,3,6,2,1963,2,514,0,76,159000,"Moderate","Poor","TA","Gd","TA","RFn","Gd","CBlock","Attchd","20"
101,9150,1962,1962,305,371,728,1099,1431,0,1431,0,1,0,3,6,1,1962,1,296,64,110,165000,"Moderate","Poor","TA","Gd","TA","RFn","Gd","CBlock","Basment","80"
78,7800,1954,1954,200,540,728,1268,1268,0,1268,0,1,0,2,7,1,1954,1,244,0,98,132000,"Moderate","Poor","TA","TA","TA","Fin","Gd","PConc","Attchd","20"
0,9830,1959,2006,0,72,733,1063,1287,0,1287,1,1,0,3,7,1,1997,2,576,364,17,162000,"Moderate","Poor","TA","TA","Gd","Fin","Gd","CBlock","Detchd","20"
0,8121,2000,2000,0,0,953,953,953,711,1664,0,2,1,3,7,1,2000,2,460,100,40,172400,"Moderate","Moderate","TA","Gd","TA","RFn","TA","PConc","Attchd","60"
80,17120,1959,1959,0,0,0,0,1120,468,1588,0,2,0,4,7,1,1991,2,680,0,59,134432,"Bad","Rich","TA","NBsmt","TA","Fin","Gd","CBlock","Detchd","50"
50,7175,1984,1984,0,623,0,744,752,0,752,1,1,0,2,4,0,1984,1,264,353,0,125000,"Moderate","Poor","TA","Gd","TA","Unf","NFp","CBlock","Attchd","120"
79,10634,1953,1953,0,428,0,608,1319,0,1319,1,1,0,3,5,0,1953,1,270,66,0,123000,"Moderate","Poor","TA","TA","TA","Unf","NFp","PConc","Attchd","20"
65,8200,2003,2004,0,0,847,847,847,1081,1928,0,2,1,4,8,1,2003,2,434,100,48,219500,"Good","Moderate","Gd","Gd","Gd","Fin","Gd","PConc","BuiltIn","60"
0,10020,1922,1950,0,350,333,683,904,0,904,1,0,1,1,4,0,1949.84301819805,0,0,0,0,61000,"VBad","Poor","Fa","Fa","Fa","NGar","NFp","BrkTil","NGar","30"
57,8846,1996,1996,0,298,572,870,914,0,914,0,1,0,2,5,0,1998,2,576,0,0,148000,"Moderate","Moderate","Gd","Gd","TA","Unf","NFp","PConc","Detchd","85"
102,11143,2004,2005,0,0,1580,1580,1580,886,2466,0,3,0,4,8,1,2004,2,610,159,214,340000,"Good","Rich","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","60"
88,11394,2010,2010,350,1445,411,1856,1856,0,1856,1,1,1,1,8,1,2010,3,834,113,0,394432,"VGood","Rich","Gd","Ex","Ex","Fin","Ex","PConc","Attchd","20"
60,8123,2000,2000,16,0,982,982,1007,793,1800,0,2,1,3,7,1,2000,2,463,100,63,179000,"Moderate","Moderate","TA","Gd","TA","Fin","TA","PConc","Attchd","60"
50,5000,1924,1950,0,218,808,1026,1026,665,1691,0,2,0,3,6,1,1924,1,308,0,0,127000,"Moderate","Moderate","TA","TA","Gd","Unf","Gd","BrkTil","Detchd","50"
60,7200,2006,2006,0,0,1293,1293,1301,0,1301,1,2,0,2,5,1,2006,2,572,216,121,187750,"Good","Rich","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","20"
79,9245,2006,2006,0,0,939,939,939,858,1797,0,2,1,3,8,0,2006,2,639,144,53,213500,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","60"
60,9000,1928,1950,0,0,784,784,784,0,784,0,1,0,2,5,0,1950,2,360,0,0,76000,"Moderate","Poor","TA","Fa","TA","Unf","NFp","BrkTil","Detchd","45"
0,11571.2528765202,1992,1992,0,985,595,1580,1079,874,1953,1,2,1,3,9,2,1992,2,501,216,231,240000,"Moderate","Rich","Gd","Gd","Gd","Fin","Fa","PConc","Attchd","60"
43,3182,2004,2005,16,24,1232,1256,1269,0,1269,0,2,0,2,6,1,2004,2,430,146,20,192000,"Good","Moderate","Gd","Gd","Gd","Fin","TA","PConc","Attchd","120"
58,8410,1910,1996,0,0,658,658,658,526,1184,0,1,0,5,8,0,1949.90536853067,0,0,0,151,81000,"Moderate","Poor","TA","TA","TA","NGar","NFp","PConc","NGar","50"
72,7200,1976,1976,255,631,410,1041,1125,0,1125,1,1,0,3,6,1,1977,1,352,296,0,125000,"Moderate","Poor","TA","TA","TA","Unf","Fa","CBlock","Detchd","80"
93,9382,1999,2000,125,0,1468,1468,1479,0,1479,0,2,0,3,6,0,1999,2,577,120,25,191000,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","20"
96,12474,2007,2008,272,1280,402,1682,1742,590,2332,1,2,1,3,9,1,2008,3,846,196,134,426000,"VGood","Rich","Ex","Ex","Ex","Fin","Ex","PConc","BuiltIn","60"
50,8405,1900,1950,0,241,229,861,961,406,1367,1,1,0,4,7,0,1978,1,384,0,130,119000,"Moderate","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","50"
71,12209,2001,2002,0,690,114,804,804,1157,1961,1,2,1,3,7,1,2001,2,560,125,192,215000,"Moderate","Moderate","TA","Ex","Gd","Fin","TA","PConc","BuiltIn","60"
0,8339,1959,1959,0,0,0,0,882,0,882,0,1,0,3,5,0,1959,1,294,0,0,106500,"Moderate","Poor","TA","NBsmt","TA","RFn","NFp","Slab","Attchd","20"
0,7446,1941,1950,0,266,522,788,788,0,788,0,1,0,2,4,2,1951.82701337895,0,0,0,0,100000,"Bad","Poor","TA","TA","TA","NGar","TA","CBlock","NGar","30"
60,10134,1940,1950,0,0,735,735,735,299,1034,0,1,0,2,5,0,1940,1,240,0,39,109000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","50"
68,9571,1956,1956,0,739,405,1144,1144,0,1144,1,1,0,3,6,0,1956,1,596,44,0,129000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
60,7200,1972,1972,0,777,117,894,894,0,894,0,1,0,2,6,0,1985,2,600,215,0,123000,"Moderate","Moderate","TA","TA","TA","RFn","NFp","CBlock","Detchd","20"
69,7590,1962,1962,288,540,324,864,876,936,1812,0,2,0,4,8,1,1962,1,264,0,168,169500,"Moderate","Poor","TA","TA","TA","RFn","TA","CBlock","Attchd","60"
60,8967,1920,1950,0,0,961,961,1077,0,1077,0,1,0,2,6,0,1920,1,338,0,0,67000,"Moderate","Poor","TA","Fa","TA","Unf","NFp","BrkTil","Detchd","30"
65,8125,2006,2007,100,812,280,1092,1112,438,1550,1,2,0,2,7,0,2007,2,438,0,168,241000,"Good","Rich","Gd","Gd","Gd","Fin","NFp","PConc","Attchd","60"
38,14963,1996,1996,0,786,474,1260,1288,0,1288,1,1,1,1,4,2,1996,2,500,120,30,245500,"Good","Rich","Gd","Gd","Ex","Fin","Gd","PConc","Attchd","120"
65,8767,2005,2005,0,24,1286,1310,1310,0,1310,0,2,0,3,6,1,2005,2,400,0,0,164990,"Good","Moderate","Gd","Gd","Gd","Fin","Gd","PConc","Attchd","20"
60,10200,1940,1997,0,0,672,672,672,0,672,0,1,0,2,4,0,1940,1,240,168,0,108000,"Moderate","Poor","TA","TA","TA","Unf","NFp","PConc","Detchd","30"
93,12090,1998,1998,650,0,1141,1141,1165,1098,2263,0,2,1,4,10,1,1998,2,420,144,123,258000,"Good","Rich","Gd","Gd","Gd","Fin","TA","PConc","BuiltIn","60"
0,10364,1995,1996,0,0,806,806,806,766,1572,0,2,1,3,7,1,1995,2,373,0,40,168000,"Moderate","Moderate","TA","Gd","TA","Fin","TA","PConc","BuiltIn","60"
0,9991,1976,1993,0,1116,165,1281,1620,0,1620,1,2,0,3,8,1,1993,2,490,120,78,150000,"Bad","Poor","TA","TA","TA","Unf","TA","CBlock","Attchd","20"
51,10480,1936,1950,0,0,1064,1064,1166,0,1639,0,1,0,3,6,0,1936,1,240,0,0,115000,"Moderate","Moderate","TA","TA","TA","Unf","NFp","BrkTil","Detchd","50"
63,15576,1915,1976,0,0,840,840,840,840,1680,0,2,0,4,8,0,1960,1,308,0,0,177000,"Moderate","Rich","TA","Gd","TA","Unf","NFp","BrkTil","Attchd","70"
109,14154,2006,2006,350,0,1063,1063,1071,1101,2172,0,2,1,3,9,1,2006,3,947,192,62,280000,"Good","Rich","Gd","Ex","Gd","RFn","Gd","PConc","Attchd","60"
85,10800,2007,2008,100,789,245,1034,1050,1028,2078,1,2,1,3,8,1,2008,3,836,0,102,339750,"Good","Rich","Gd","Ex","Ex","Fin","Gd","PConc","Attchd","60"
68,9571,1958,1958,0,0,1276,1276,1276,0,1276,0,1,0,3,5,0,1958,1,350,0,0,60000,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Attchd","20"
100,8336.54307600778,1955,1955,0,1056,0,1056,1056,0,1056,1,1,0,3,5,0,1955,2,572,264,0,145000,"Moderate","Moderate","TA","TA","TA","Fin","NFp","CBlock","Attchd","190"
0,4403,2009,2009,432,578,892,1470,1478,0,1478,1,2,1,2,7,1,2009,2,484,0,144,222000,"Good","Rich","Ex","Ex","Gd","Fin","Gd","PConc","Attchd","20"
56,8960,1927,1950,0,0,1008,1008,1028,0,1028,0,1,0,2,5,1,1927,2,360,0,0,115000,"Moderate","Poor","TA","TA","TA","Unf","Gd","CBlock","Detchd","30"
59,11228,1993,1993,0,50,499,1080,1080,1017,2097,0,2,1,3,9,1,1993,3,678,196,187,228000,"Good","Poor","Gd","Gd","Gd","Unf","TA","PConc","Attchd","60"
73,8899,2007,2007,0,24,1316,1340,1340,0,1340,0,2,0,3,6,0,2007,2,396,100,30,181134,"Good","Moderate","Gd","Gd","Gd","Fin","NFp","PConc","Attchd","20"
74,7844,1978,1978,203,209,463,672,672,728,1400,0,1,1,3,6,1,1978,2,440,0,0,149500,"Moderate","Poor","TA","TA","TA","Fin","TA","CBlock","Attchd","60"
86,22420,1918,1950,0,1128,242,1370,1370,1254,2624,1,2,1,4,10,1,1918,3,864,0,0,239000,"Moderate","Rich","TA","Gd","TA","Unf","Gd","BrkTil","Detchd","70"
60,8160,1940,1950,0,312,444,756,756,378,1134,1,1,1,3,7,0,1940,1,240,0,0,126000,"Moderate","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","50"
65,8450,1968,1968,0,775,281,1056,1056,0,1056,1,1,0,3,6,1,1968,1,304,0,85,142000,"Moderate","Poor","TA","TA","TA","Unf","Fa","CBlock","Attchd","20"
78,7060,1997,1998,200,1309,35,1344,1344,0,1344,2,2,0,2,8,0,1997,4,784,0,0,206300,"Good","Moderate","TA","Gd","TA","Fin","NFp","PConc","Attchd","90"
0,16635,1977,2000,126,1246,356,1602,1602,0,1602,0,2,0,3,8,1,1977,2,529,240,0,215000,"Moderate","Moderate","Gd","Gd","Gd","Fin","TA","CBlock","Attchd","20"
100,21750,1954,1954,0,0,988,988,988,0,988,0,1,0,2,4,0,1954,2,520,0,0,113000,"Moderate","Moderate","TA","TA","TA","RFn","NFp","CBlock","Attchd","20"
80,9200,1998,1998,473,986,484,1470,1470,1160,2630,1,2,1,4,8,1,1998,3,696,0,66,315000,"Good","Rich","Gd","Gd","Gd","Fin","TA","PConc","Attchd","60"
72,9000,1956,1956,74,616,580,1196,1196,0,1196,1,1,0,2,6,1,1956,1,297,0,44,139000,"Moderate","Poor","TA","Gd","TA","RFn","Gd","CBlock","Attchd","20"
60,3378,1946,1992,0,0,651,651,707,682,1389,0,1,1,3,6,2,1947,1,240,0,0,135000,"Good","Poor","TA","TA","TA","Unf","Gd","CBlock","Detchd","60"
0,12800,1989,1989,145,1518,0,1518,1644,0,1644,1,2,0,2,5,1,1989,2,569,80,0,275000,"Good","Poor","Gd","Gd","Gd","Fin","TA","PConc","Attchd","80"
77,8593,1957,1957,0,288,619,907,907,0,907,0,1,0,3,5,0,1964,1,352,0,0,109008,"Bad","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
64,6762,2007,2007,108,664,544,1208,1208,0,1208,1,2,0,2,6,0,2007,2,628,105,54,195400,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","20"
130,11457,1988,1988,0,1005,387,1392,1412,0,1412,1,2,0,3,6,1,1988,2,576,0,0,175000,"Moderate","Rich","TA","Gd","Gd","Unf","TA","CBlock","Attchd","20"
21,1680,1971,1971,232,387,96,483,483,504,987,0,1,1,2,4,0,1971,1,264,0,0,85400,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","160"
60,5586,1920,1998,0,0,901,901,1088,110,1198,0,1,0,4,7,0,1954.62438629449,0,0,0,98,79900,"Moderate","Poor","TA","TA","TA","NGar","NFp","BrkTil","NGar","50"
24,1920,1971,1971,376,471,294,765,765,600,1365,1,1,1,2,6,0,1971,2,440,240,36,122500,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","160"
100,10839,1997,1998,0,0,926,926,926,678,1604,0,2,1,3,7,1,1997,2,470,0,36,181000,"Moderate","Moderate","TA","Gd","TA","Fin","TA","PConc","Attchd","60"
21,1890,1972,1972,0,495,135,630,630,0,630,1,1,0,1,3,0,1954.47822571769,0,0,88,0,81000,"Bad","Poor","TA","Gd","TA","NGar","NFp","CBlock","NGar","180"
43,10667,1996,1996,0,385,70,799,827,834,1661,1,2,1,3,6,1,1996,2,550,158,61,212000,"Good","Moderate","Gd","Gd","Gd","RFn","TA","PConc","Attchd","60"
40,4400,1920,1950,0,0,648,648,734,384,1118,0,1,0,2,6,0,1990,2,440,0,0,116000,"Moderate","Poor","TA","Fa","TA","Unf","NFp","BrkTil","Detchd","50"
50,6000,1926,2004,0,0,884,884,904,0,904,0,1,0,2,4,0,1926,1,180,0,0,119000,"Moderate","Poor","Gd","TA","TA","Unf","NFp","PConc","Detchd","45"
40,4280,1913,2002,0,365,75,440,694,0,694,0,1,0,2,4,1,1990,1,352,0,0,90350,"Moderate","Rich","TA","TA","Gd","Unf","Gd","PConc","Detchd","30"
67,12354,1920,2000,0,0,684,684,684,512,1196,0,1,0,3,7,0,2005,2,528,0,46,110000,"Moderate","Poor","TA","TA","Gd","Unf","NFp","BrkTil","Detchd","50"
105,15431,2008,2008,200,1767,788,1772.91990848971,2402,0,2402,1,2,0,2,10,2,2008,3,672,0,72,555000,"VGood","Rich","Ex","Ex","Ex","Fin","Gd","PConc","Attchd","20"
92,12108,1955,1955,270,133,1307,1440,1440,0,1440,0,2,0,4,8,0,1966.11088070333,0,0,0,0,118000,"Bad","Poor","TA","TA","Fa","NGar","NFp","CBlock","NGar","90"
52,6240,1930,1992,0,0,1078,1078,1128,445,1573,0,2,0,3,8,1,1930,2,360,0,0,162900,"Moderate","Poor","TA","TA","TA","Unf","Gd","PConc","Detchd","50"
53,3922,2006,2007,72,0,1258,1258,1258,0,1258,0,2,0,2,6,1,2007,3,648,144,16,172500,"Good","Moderate","Gd","Ex","Gd","Fin","Gd","PConc","Attchd","120"
70,8750,1994,1995,0,642,273,915,933,975,1908,1,2,1,4,8,1,1994,2,493,144,133,210000,"Good","Moderate","Gd","Gd","Gd","Unf","TA","PConc","Attchd","60"
73,9855,1956,1956,0,0,1436,1436,1689,0,1689,0,1,0,3,7,1,1956,2,480,0,0,127500,"Moderate","Poor","TA","TA","TA","Unf","Gd","CBlock","Attchd","20"
137,16492,1966,2002,0,247,557,1517,1888,0,1888,0,2,1,2,6,1,1966,2,578,0,0,190000,"Moderate","Poor","Gd","TA","Gd","Fin","Gd","CBlock","Attchd","20"
0,11214,1998,1999,0,0,930,930,956,930,1886,0,2,1,4,10,1,1998,2,431,89,0,199900,"Good","Moderate","Gd","Gd","Gd","Fin","TA","PConc","Attchd","60"
50,8600,1937,1950,0,0,780,780,780,596,1376,0,2,0,3,7,1,1937,1,198,0,0,119500,"Moderate","Poor","TA","TA","TA","Unf","Gd","BrkTil","Detchd","50"
50,6000,1948,2002,0,331,318,649,679,504,1183,0,1,1,2,6,0,1981,1,308,0,176,120000,"Bad","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","50"
70,5684,1930,2005,0,0,813,813,813,0,813,0,1,0,2,5,0,1932,1,270,0,113,110000,"Moderate","Poor","TA","TA","Gd","Unf","NFp","BrkTil","Detchd","30"
62,9887.71394569605,1975,1975,0,655,878,1533,1533,0,1533,1,2,0,2,5,2,1975,2,576,200,54,280000,"Good","Rich","TA","Gd","Gd","Unf","TA","CBlock","Attchd","20"
0,9303,1996,1997,42,742,130,872,888,868,1756,1,2,1,3,7,0,1996,2,422,144,122,204000,"Moderate","Rich","Gd","Ex","TA","Fin","NFp","PConc","Attchd","60"
75,9000,2008,2008,0,0,768,768,786,804,1590,0,2,1,3,6,0,2008,2,676,0,30,210000,"Good","Rich","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","60"
63,9297,1976,1976,0,1606,122,1728,1728,0,1728,2,2,0,4,8,0,1976,2,560,0,0,188000,"Moderate","Moderate","TA","TA","TA","Unf","NFp","CBlock","Detchd","90"
80,9600,1973,1973,320,916,326,1242,1242,0,1242,0,1,1,3,6,1,1973,2,528,0,0,175500,"Good","Moderate","TA","TA","TA","Unf","TA","CBlock","Attchd","20"
34,4571,1916,1950,0,0,624,624,624,720,1344,0,1,0,4,7,0,1916,3,513,0,0,98000,"Moderate","Poor","TA","TA","TA","Unf","NFp","BrkTil","Detchd","70"
0,9534.31416209963,1954,1994,0,1116,248,1364,1663,0,1663,1,1,0,2,6,2,1954,2,529,224,137,256000,"Bad","Rich","TA","Gd","Gd","Fin","Gd","CBlock","Attchd","20"
0,5100,1925,1996,0,0,588,588,833,833,1666,0,1,0,3,7,1,1925,1,228,192,63,161000,"Good","Poor","TA","TA","Gd","Unf","Gd","PConc","Detchd","70"
0,7015,1950,1950,161,185,524,709,979,224,1203,1,1,0,3,5,1,1950,1,352,0,0,110000,"Moderate","Poor","TA","TA","Gd","Unf","TA","CBlock","Detchd","50"
75,8004,2009,2009,110,544,288,832,832,1103,1935,1,2,1,3,8,0,2009,2,552,0,150,263435,"Good","Rich","Gd","Gd","TA","Fin","NFp","PConc","BuiltIn","60"
60,7200,1936,2007,0,350,0,560,575,560,1135,1,1,0,3,6,0,1971,2,576,256,0,155000,"Good","Moderate","Gd","Gd","Gd","RFn","NFp","PConc","Detchd","70"
60,8281,1965,1965,0,553,0,864,864,0,864,0,1,0,3,5,1,1965,1,360,0,0,62383,"Moderate","Poor","TA","TA","TA","Unf","Po","CBlock","Detchd","20"
74,11988,1934,1995,0,326,389,715,849,811,1660,0,1,1,3,6,1,1939,1,240,0,0,188700,"Moderate","Rich","TA","TA","TA","Unf","Gd","CBlock","Detchd","70"
60,8430,1978,1978,136,616,424,1040,1040,0,1040,0,2,0,3,5,0,1963.03051447706,0,0,0,0,124000,"Moderate","Moderate","TA","Gd","TA","NGar","NFp","CBlock","NGar","20"
0,3072,2004,2004,18,0,1375,1375,1414,0,1414,0,2,0,2,6,1,2004,2,398,144,20,178740,"Good","Moderate","Gd","Gd","Gd","Fin","TA","PConc","Attchd","120"
85,10628,1970,1970,0,778,499,1277,1277,0,1277,1,1,0,2,5,1,1970,2,526,0,0,167000,"Good","Poor","TA","TA","TA","Unf","Po","CBlock","Attchd","20"
79,9480,1942,1995,224,386,342,728,888,756,1644,0,1,1,3,7,2,1942,1,312,168,0,146500,"Moderate","Poor","TA","TA","Gd","Unf","Gd","CBlock","Attchd","70"
98,11428,2006,2006,248,0,1626,1626,1634,0,1634,0,2,0,3,7,1,2006,3,866,0,44,250000,"Good","Rich","Gd","Gd","Gd","RFn","Gd","PConc","Attchd","20"
76,9291,1993,1993,120,426,406,832,832,878,1710,0,2,1,3,7,0,1993,2,506,144,70,187000,"Moderate","Poor","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","60"
0,6820,1985,1985,0,368,0,1488,1502,0,1502,1,1,1,1,4,0,1985,2,528,0,54,212000,"Good","Rich","Gd","Gd","Gd","RFn","NFp","PConc","Attchd","120"
92,11952,1977,1977,0,0,808,808,1161,808,1969,0,2,1,3,8,1,1977,2,534,0,0,190000,"Good","Moderate","TA","Gd","TA","RFn","Gd","CBlock","Attchd","60"
35,3675,2005,2005,80,459,88,547,1072,0,1072,1,1,0,2,5,0,2005,2,525,0,28,148000,"Moderate","Poor","TA","Gd","TA","RFn","NFp","PConc","Basment","180"
110,14977,2006,2007,304,1350,626,1976,1976,0,1976,1,2,0,2,7,1,2006,3,908,250,63,440000,"Good","Rich","Gd","Ex","Gd","RFn","Ex","PConc","Attchd","20"
41,5330,2000,2000,0,1196,298,1494,1652,0,1652,1,2,0,2,6,0,2000,2,499,96,48,251000,"Good","Rich","Gd","Gd","Ex","RFn","NFp","PConc","Attchd","120"
80,8480,1963,1963,0,630,340,970,970,0,970,1,1,0,2,5,0,1996,2,624,0,24,132500,"Moderate","Poor","TA","TA","TA","Unf","NFp","CBlock","Detchd","20"
75,13125,1997,1998,215,994,484,1478,1493,0,1493,1,2,0,3,7,1,1997,2,508,140,39,208900,"Moderate","Moderate","TA","Gd","Gd","Fin","TA","PConc","Attchd","20"
105,13693,2006,2006,238.375021661334,0,2153,2153,2069,574,2643,0,2,1,3,9,1,2006,3,694,414,84,380000,"VGood","Rich","Ex","Gd","Ex","Fin","Gd","PConc","BuiltIn","60"
79,10637,2007,2008,336,1288,417,1705,1718,0,1718,1,2,0,3,7,1,2007,3,826,208,44,297000,"Good","Moderate","Gd","Ex","Gd","RFn","Gd","PConc","Attchd","20"
50,5925,1937,2000,435,168,739,907,1131,0,1131,0,1,0,2,7,0,1995,2,672,0,72,89471,"Bad","Poor","TA","Fa","TA","Unf","NFp","BrkTil","Detchd","30"
98,16033,2004,2005,378,1261,572,1833,1850,0,1850,1,2,0,3,8,1,2004,3,772,519,112,326000,"VGood","Rich","Gd","Ex","Gd","Fin","Gd","PConc","Attchd","20"
72,11846,2003,2004,562,1567,225,1792,1792,0,1792,1,2,0,2,6,1,2003,3,874,206,49,374000,"VGood","Rich","Gd","Ex","Ex","Fin","Gd","PConc","Attchd","20"
50,2500,1915,2005,0,299,611,910,916,910,1826,1,1,1,4,7,1,1915,1,164,0,0,155000,"Good","Poor","Gd","TA","Ex","Unf","Gd","PConc","Attchd","70"
32,4500,1998,1998,116,897,319,1216,1216,0,1216,1,2,0,2,5,0,1998,2,402,0,125,164000,"Moderate","Moderate","TA","Ex","TA","Unf","NFp","PConc","Attchd","120"
0,7758,1962,2001,0,588,411,999,999,0,999,1,1,0,3,6,0,1963,1,264,0,132,132500,"Moderate","Poor","TA","TA","Gd","Unf","NFp","CBlock","Detchd","20"
80,9600,1950,2007,0,607,506,1113,1113,0,1113,0,1,0,3,5,1,1950,1,264,0,80,147000,"Moderate","Poor","Gd","TA","Gd","Unf","Gd","CBlock","Attchd","20"
79,10289,1965,1965,168,836,237,1073,1073,0,1073,1,1,1,3,6,0,1965,2,515,0,0,156000,"Moderate","Poor","TA","TA","TA","RFn","NFp","CBlock","Attchd","20"
70,12243,1971,1971,0,998,486,1484,1484,0,1484,0,2,0,3,7,1,1971,2,487,224,0,175000,"Moderate","Moderate","TA","Gd","TA","Unf","TA","CBlock","Attchd","20"
